station_id,lat,lon,tmean_c
41.26793_2.026664,41.26793,2.026664,29.338247
41.267937_2.049385,41.267937,2.049385,27.93897
41.26794_2.072106,41.26794,2.072106,28.142288
41.26794_2.094827,41.26794,2.094827,28.299719
41.26797_2.015895,41.26797,2.015895,29.524973
41.267982_2.038616,41.267982,2.038616,28.038332
41.267986_2.061337,41.267986,2.061337,28.001421
41.267986_2.084058,41.267986,2.084058,28.248133
41.268013_2.005126,41.268013,2.005126,29.593866
41.268024_2.027847,41.268024,2.027847,29.248476
41.268032_2.050568,41.268032,2.050568,27.934898
41.268032_2.09601,41.268032,2.09601,28.310328
41.268036_2.073289,41.268036,2.073289,28.159866
41.268066_2.017078,41.268066,2.017078,29.504257
41.268078_2.0398,41.268078,2.0398,28.019445
41.26808_2.062521,41.26808,2.062521,28.010864
41.26808_2.085242,41.26808,2.085242,28.252785
41.26811_2.006309,41.26811,2.006309,29.58201
41.26812_2.029031,41.26812,2.029031,29.203299
41.268127_2.051752,41.268127,2.051752,27.935295
41.268127_2.097194,41.268127,2.097194,28.324776
41.26813_2.074473,41.26813,2.074473,28.173727
41.26816_2.018262,41.26816,2.018262,29.496653
41.268173_2.040983,41.268173,2.040983,28.004684
41.268177_2.063704,41.268177,2.063704,28.017242
41.268177_2.086426,41.268177,2.086426,28.256203
41.268204_2.007493,41.268204,2.007493,29.561762
41.268215_2.030215,41.268215,2.030215,29.21264
41.268223_2.052936,41.268223,2.052936,27.929472
41.268223_2.098378,41.268223,2.098378,28.33816
41.268227_2.075657,41.268227,2.075657,28.190222
41.268257_2.019446,41.268257,2.019446,29.493294
41.26827_2.042167,41.26827,2.042167,27.992891
41.268272_2.064888,41.268272,2.064888,28.031134
41.268272_2.087609,41.268272,2.087609,28.258307
41.2683_2.008677,41.2683,2.008677,29.567163
41.26831_2.031398,41.26831,2.031398,29.244513
41.26832_2.05412,41.26832,2.05412,27.926752
41.26832_2.076841,41.26832,2.076841,28.20349
41.26832_2.099562,41.26832,2.099562,28.349718
41.268337_1.997908,41.268337,1.997908,29.626144
41.268353_2.020629,41.268353,2.020629,29.471678
41.26836_2.043351,41.26836,2.043351,27.990395
41.268364_2.088793,41.268364,2.088793,28.264105
41.268368_2.066072,41.268368,2.066072,28.049368
41.268394_2.00986,41.268394,2.00986,29.576502
41.268406_2.032582,41.268406,2.032582,29.295158
41.26841_2.100746,41.26841,2.100746,28.360106
41.268414_2.055303,41.268414,2.055303,27.93094
41.268414_2.078024,41.268414,2.078024,28.213518
41.268433_1.999091,41.268433,1.999091,29.68765
41.268448_2.021813,41.268448,2.021813,29.438423
41.268456_2.044534,41.268456,2.044534,27.990686
41.26846_2.067256,41.26846,2.067256,28.068087
41.26846_2.089977,41.26846,2.089977,28.278778
41.26849_2.011044,41.26849,2.011044,29.589499
41.2685_2.033766,41.2685,2.033766,29.271738
41.268505_2.101929,41.268505,2.101929,28.370275
41.26851_2.056487,41.26851,2.056487,27.94219
41.26851_2.079208,41.26851,2.079208,28.223455
41.268528_2.000275,41.268528,2.000275,29.734861
41.268543_2.022997,41.268543,2.022997,29.42595
41.26855_2.045718,41.26855,2.045718,27.986917
41.268555_2.068439,41.268555,2.068439,28.08699
41.268555_2.091161,41.268555,2.091161,28.291506
41.268585_2.012228,41.268585,2.012228,29.564804
41.268597_2.034949,41.268597,2.034949,29.16828
41.2686_2.057671,41.2686,2.057671,27.950195
41.2686_2.103113,41.2686,2.103113,28.37921
41.268604_2.080392,41.268604,2.080392,28.236725
41.268623_2.001459,41.268623,2.001459,29.763796
41.26864_2.02418,41.26864,2.02418,29.420547
41.268646_2.046902,41.268646,2.046902,27.986084
41.26865_2.069623,41.26865,2.069623,28.109838
41.26865_2.092345,41.26865,2.092345,28.303215
41.26868_2.013412,41.26868,2.013412,29.54714
41.268692_2.036133,41.268692,2.036133,29.149582
41.268692_2.104297,41.268692,2.104297,28.387848
41.268696_2.058854,41.268696,2.058854,27.95994
41.268696_2.081576,41.268696,2.081576,28.249063
41.26872_2.002642,41.26872,2.002642,29.688255
41.268734_2.025364,41.268734,2.025364,29.366919
41.26874_2.048086,41.26874,2.048086,27.992294
41.26874_2.093528,41.26874,2.093528,28.311296
41.268745_2.070807,41.268745,2.070807,28.13103
41.268776_2.014595,41.268776,2.014595,29.561117
41.268784_2.037317,41.268784,2.037317,29.141312
41.268787_2.105481,41.268787,2.105481,28.400263
41.26879_2.060038,41.26879,2.060038,27.980368
41.26879_2.08276,41.26879,2.08276,28.258638
41.268814_2.003826,41.268814,2.003826,29.699827
41.26883_2.026548,41.26883,2.026548,29.347221
41.268837_2.049269,41.268837,2.049269,27.99505
41.268837_2.094712,41.268837,2.094712,28.317762
41.26884_2.071991,41.26884,2.071991,28.149454
41.26887_2.015779,41.26887,2.015779,29.584534
41.26888_2.038501,41.26888,2.038501,29.094782
41.268883_2.106664,41.268883,2.106664,28.41652
41.268887_2.061222,41.268887,2.061222,27.997314
41.268887_2.083943,41.268887,2.083943,28.264006
41.26891_2.00501,41.26891,2.00501,29.710289
41.268925_2.027731,41.268925,2.027731,29.342216
41.268932_2.050453,41.268932,2.050453,27.989954
41.268932_2.095896,41.268932,2.095896,28.325018
41.268936_2.073174,41.268936,2.073174,28.166342
41.268967_2.016963,41.268967,2.016963,29.573425
41.268974_2.039684,41.268974,2.039684,28.057264
41.268974_2.107848,41.268974,2.107848,28.433283
41.268982_2.062406,41.268982,2.062406,28.007772
41.268982_2.085127,41.268982,2.085127,28.267601
41.269005_2.006193,41.269005,2.006193,29.636805
41.26902_2.028915,41.26902,2.028915,29.29493
41.269028_2.051637,41.269028,2.051637,27.988914
41.269028_2.074358,41.269028,2.074358,28.180334
41.269028_2.09708,41.269028,2.09708,28.337492
41.26906_2.018146,41.26906,2.018146,29.581436
41.26907_2.040868,41.26907,2.040868,28.0616
41.26907_2.109032,41.26907,2.109032,28.448011
41.269077_2.063589,41.269077,2.063589,28.01381
41.269077_2.086311,41.269077,2.086311,28.27112
41.2691_2.007377,41.2691,2.007377,29.622286
41.26911_2.030099,41.26911,2.030099,29.280296
41.26912_2.05282,41.26912,2.05282,27.986322
41.26912_2.098264,41.26912,2.098264,28.353476
41.269123_2.075542,41.269123,2.075542,28.194862
41.269154_2.01933,41.269154,2.01933,29.5934
41.269165_2.042052,41.269165,2.042052,28.0454
41.269165_2.110216,41.269165,2.110216,28.458456
41.26917_2.064773,41.26917,2.064773,28.02973
41.26917_2.087495,41.26917,2.087495,28.27419
41.269196_2.008561,41.269196,2.008561,29.635803
41.269207_2.031283,41.269207,2.031283,29.284613
41.269215_2.054004,41.269215,2.054004,27.980621
41.269215_2.099447,41.269215,2.099447,28.365082
41.26922_2.076726,41.26922,2.076726,28.207062
41.269234_1.997792,41.269234,1.997792,29.706018
41.26925_2.020514,41.26925,2.020514,29.568678
41.26926_2.043235,41.26926,2.043235,28.031927
41.26926_2.1114,41.26926,2.1114,28.462229
41.269264_2.065957,41.269264,2.065957,28.048925
41.269264_2.088678,41.269264,2.088678,28.280357
41.26929_2.009744,41.26929,2.009744,29.646128
41.269302_2.032466,41.269302,2.032466,29.344671
41.26931_2.055188,41.26931,2.055188,27.973185
41.26931_2.100631,41.26931,2.100631,28.375952
41.269314_2.077909,41.269314,2.077909,28.217339
41.269333_1.998975,41.269333,1.998975,29.808874
41.269344_2.021697,41.269344,2.021697,29.558252
41.269352_2.112584,41.269352,2.112584,28.463179
41.269356_2.044419,41.269356,2.044419,28.037498
41.26936_2.067141,41.26936,2.067141,28.069756
41.26936_2.089862,41.26936,2.089862,28.293182
41.269386_2.010928,41.269386,2.010928,29.658958
41.269398_2.03365,41.269398,2.03365,29.358946
41.269405_2.056372,41.269405,2.056372,27.961142
41.269405_2.079093,41.269405,2.079093,28.22886
41.269405_2.101815,41.269405,2.101815,28.386803
41.26943_2.000159,41.26943,2.000159,29.852747
41.26944_2.022881,41.26944,2.022881,29.459711
41.269447_2.113767,41.269447,2.113767,28.463394
41.26945_2.045603,41.26945,2.045603,28.031984
41.269455_2.068325,41.269455,2.068325,28.091866
41.269455_2.091046,41.269455,2.091046,28.307543
41.26948_2.012112,41.26948,2.012112,29.65277
41.269493_2.034834,41.269493,2.034834,29.26367
41.269497_2.102998,41.269497,2.102998,28.396738
